fibrosis_type,density,fiber_angle_deg,trials,successes,failures
Diffuse,0.9,30,100,0,100
Diffuse,0.9,60,100,0,100
Diffuse,0.9,90,100,0,100
Diffuse,0.95,0,100,0,100
Diffuse,0.95,30,100,0,100
Diffuse,0.95,60,100,0,100
Diffuse,0.95,90,100,0,100
Interstitial,0.05,0,100,0,100
Interstitial,0.05,30,100,0,100
Interstitial,0.05,60,100,0,100
Interstitial,0.05,90,100,0,100
Interstitial,0.1,0,100,0,100
Interstitial,0.1,30,100,0,100
Interstitial,0.1,60,100,0,100
Interstitial,0.1,90,100,1,99
Interstitial,0.15,0,100,0,100
Interstitial,0.15,30,100,0,100
Interstitial,0.15,60,100,0,100
Interstitial,0.15,90,100,4,96
Interstitial,0.2,0,100,3,97
Interstitial,0.2,30,100,1,99
Interstitial,0.2,60,100,3,97
Interstitial,0.2,90,100,11,89
Interstitial,0.25,0,100,6,94
Interstitial,0.25,30,100,3,97
Interstitial,0.25,60,100,5,95
Interstitial,0.25,90,100,24,76
Interstitial,0.3,0,100,15,85
Interstitial,0.3,30,100,6,94
Interstitial,0.3,60,100,13,87
Interstitial,0.3,90,100,26,74
Interstitial,0.35,0,100,21,79
Interstitial,0.35,30,100,16,84
Interstitial,0.35,60,100,22,78
Interstitial,0.35,90,100,14,86
Interstitial,0.4,0,100,14,86
Interstitial,0.4,30,100,18,82
Interstitial,0.4,60,100,13,87
Interstitial,0.4,90,100,1,99
Interstitial,0.45,0,100,3,97
Interstitial,0.45,30,100,14,86
Interstitial,0.45,60,100,4,96
Interstitial,0.45,90,100,1,99
Interstitial,0.5,0,100,1,99
Interstitial,0.5,30,100,2,98
Interstitial,0.5,60,100,1,99
Interstitial,0.5,90,100,0,100
Interstitial,0.55,0,100,0,100
Interstitial,0.55,30,100,1,99
Interstitial,0.55,60,100,0,100
Interstitial,0.55,90,100,0,100
Interstitial,0.6,0,100,0,100
Interstitial,0.6,30,100,0,100
Interstitial,0.6,60,100,0,100
Interstitial,0.6,90,100,0,100
Interstitial,0.65,0,100,0,100
Interstitial,0.65,30,100,0,100
Interstitial,0.65,60,100,0,100
Interstitial,0.65,90,100,0,100
Interstitial,0.7,0,100,0,100
Interstitial,0.7,30,100,0,100
Interstitial,0.7,60,100,0,100
Interstitial,0.7,90,100,0,100
Interstitial,0.75,0,100,0,100
Interstitial,0.75,30,100,0,100
Interstitial,0.75,60,100,0,100
Interstitial,0.75,90,100,0,100
Interstitial,0.8,0,100,0,100
Interstitial,0.8,30,100,0,100
Interstitial,0.8,60,100,0,100
Interstitial,0.8,90,100,0,100
Interstitial,0.85,0,100,0,100
Interstitial,0.85,30,100,0,100
Interstitial,0.85,60,100,0,100
Interstitial,0.85,90,100,0,100
Interstitial,0.9,0,100,0,100
Interstitial,0.9,30,100,0,100
Interstitial,0.9,60,100,0,100
Interstitial,0.9,90,100,0,100
Interstitial,0.95,0,100,0,100
Interstitial,0.95,30,100,0,100
Interstitial,0.95,60,100,0,100
Interstitial,0.95,90,100,0,100
Patchy,0.05,0,100,0,100
Patchy,0.05,30,100,0,100
Patchy,0.05,60,100,1,99
Patchy,0.05,90,100,0,100
Patchy,0.1,0,100,0,100
Patchy,0.1,30,100,0,100
Patchy,0.1,60,100,0,100
Patchy,0.1,90,100,1,99
Patchy,0.15,0,100,0,100
Patchy,0.15,30,100,0,100
Patchy,0.15,60,100,0,100
Patchy,0.15,90,100,4,96
Patchy,0.2,0,100,0,100
Patchy,0.2,30,100,5,95
Patchy,0.2,60,100,1,99
Patchy,0.2,90,100,6,94
Patchy,0.25,0,100,11,89
Patchy,0.25,30,100,8,92
Patchy,0.25,60,100,4,96
Patchy,0.25,90,100,11,89
Patchy,0.3,0,100,5,95
Patchy,0.3,30,100,2,98
Patchy,0.3,60,100,8,92
Patchy,0.3,90,100,9,91
Patchy,0.35,0,100,13,87
Patchy,0.35,30,100,2,98
Patchy,0.35,60,100,5,95
Patchy,0.35,90,100,6,94
Patchy,0.4,0,100,9,91
Patchy,0.4,30,100,1,99
Patchy,0.4,60,100,0,100
Patchy,0.4,90,100,1,99
Patchy,0.45,0,100,5,95
Patchy,0.45,30,100,1,99
Patchy,0.45,60,100,0,100
Patchy,0.45,90,100,1,99
Patchy,0.5,0,100,2,98
Patchy,0.5,30,100,0,100
Patchy,0.5,60,100,0,100
Patchy,0.5,90,100,1,99
Patchy,0.55,0,100,1,99
Patchy,0.55,30,100,0,100
Patchy,0.55,60,100,0,100
Patchy,0.55,90,100,0,100
Patchy,0.6,0,100,0,100
Patchy,0.6,30,100,0,100
Patchy,0.6,60,100,0,100
Patchy,0.6,90,100,0,100
Patchy,0.65,0,100,0,100
Patchy,0.65,30,100,0,100
Patchy,0.65,60,100,0,100
Patchy,0.65,90,100,0,100
Patchy,0.7,0,100,0,100
Patchy,0.7,30,100,0,100
Patchy,0.7,60,100,0,100
Patchy,0.7,90,100,0,100
Patchy,0.75,0,100,0,100
Patchy,0.75,30,100,0,100
Patchy,0.75,60,100,0,100
Patchy,0.75,90,100,0,100
Patchy,0.8,0,100,0,100
Patchy,0.8,30,100,0,100
Patchy,0.8,60,100,0,100
Patchy,0.8,90,100,0,100
Patchy,0.85,0,100,0,100
Patchy,0.85,30,100,0,100
Patchy,0.85,60,100,0,100
Patchy,0.85,90,100,0,100
Patchy,0.9,0,100,0,100
Patchy,0.9,30,100,0,100
Patchy,0.9,60,100,0,100
Patchy,0.9,90,100,0,100
Patchy,0.95,0,100,0,100
Patchy,0.95,30,100,0,100
Patchy,0.95,60,100,0,100
Patchy,0.95,90,100,0,100
Uniform,0.05,0,100,0,100
Uniform,0.05,30,100,0,100
Uniform,0.05,60,100,0,100
Uniform,0.05,90,100,0,100
Uniform,0.1,0,100,0,100
Uniform,0.1,30,100,0,100
Uniform,0.1,60,100,0,100
Uniform,0.1,90,100,0,100
Uniform,0.15,0,100,0,100
Uniform,0.15,30,100,0,100
Uniform,0.15,60,100,0,100
Uniform,0.15,90,100,0,100
Uniform,0.2,0,100,2,98
Uniform,0.2,30,100,0,100
Uniform,0.2,60,100,0,100
Uniform,0.2,90,100,4,96
Uniform,0.25,0,100,85,15
Uniform,0.25,30,100,0,100
Uniform,0.25,60,100,0,100
Uniform,0.25,90,100,83,17
Uniform,0.3,0,100,0,100
Uniform,0.3,30,100,2,98
Uniform,0.3,60,100,4,96
Uniform,0.3,90,100,0,100
Uniform,0.35,0,100,0,100
Uniform,0.35,30,100,66,34
Uniform,0.35,60,100,66,34
Uniform,0.35,90,100,0,100
Uniform,0.4,0,100,0,100
Uniform,0.4,30,100,19,81
Uniform,0.4,60,100,19,81
Uniform,0.4,90,100,0,100
Uniform,0.45,0,100,0,100
Uniform,0.45,30,100,0,100
Uniform,0.45,60,100,0,100
Uniform,0.45,90,100,0,100
Uniform,0.5,0,100,0,100
Uniform,0.5,30,100,0,100
Uniform,0.5,60,100,0,100
Uniform,0.5,90,100,0,100
Uniform,0.55,0,100,0,100
Uniform,0.55,30,100,0,100
Uniform,0.55,60,100,0,100
Uniform,0.55,90,100,0,100
Uniform,0.6,0,100,0,100
Uniform,0.6,30,100,0,100
Uniform,0.6,60,100,0,100
Uniform,0.6,90,100,0,100
Uniform,0.65,0,100,0,100
Uniform,0.65,30,100,0,100
Uniform,0.65,60,100,0,100
Uniform,0.65,90,100,0,100
Uniform,0.7,0,100,0,100
Uniform,0.7,30,100,0,100
Uniform,0.7,60,100,0,100
Uniform,0.7,90,100,0,100
Uniform,0.75,0,100,0,100
Uniform,0.75,30,100,0,100
Uniform,0.75,60,100,0,100
Uniform,0.75,90,100,0,100
Uniform,0.8,0,100,0,100
Uniform,0.8,30,100,0,100
Uniform,0.8,60,100,0,100
Uniform,0.8,90,100,0,100
Uniform,0.85,0,100,0,100
Uniform,0.85,30,100,0,100
Uniform,0.85,60,100,0,100
Uniform,0.85,90,100,0,100
Uniform,0.9,0,100,0,100
Uniform,0.9,30,100,0,100
Uniform,0.9,60,100,0,100
Uniform,0.9,90,100,0,100
Uniform,0.95,0,100,0,100
Uniform,0.95,30,100,0,100
Uniform,0.95,60,100,0,100
Uniform,0.95,90,100,0,100
